param,window_size,window,t,v,w,is_node
wrong,25,2,25.0,1.8148749530157198,0.43863009130384323,true
wrong,25,2,25.1,1.821467797597209,0.45849830320513435,false
wrong,25,2,25.2,1.8250766124519529,0.47826710735436095,false
wrong,25,2,25.3,1.8262459925517975,0.49791245276868884,false
wrong,25,2,25.4,1.8254294093707426,0.5174150308271185,false
wrong,25,2,25.5,1.8230001727874074,0.5367594544695238,false
wrong,25,2,25.6,1.8192630002859724,0.555933547807684,false
wrong,25,2,25.7,1.8144650685936685,0.57492774523363,false
wrong,25,2,25.8,1.8088059733487474,0.5937345915061084,false
wrong,25,2,25.9,1.802446373487363,0.6123483308349409,false
wrong,25,2,26.0,1.7955153042072312,0.6307645720648645,false
wrong,25,2,26.1,1.7881162530737529,0.6489800175734379,false
wrong,25,2,26.2,1.7803321438227913,0.6669922447201305,false
wrong,25,2,26.3,1.7722293865158911,0.6847995301754737,false
wrong,25,2,26.4,1.7638611471713217,0.7024007089693944,false
wrong,25,2,26.5,1.7552699749336518,0.7197950614966854,false
wrong,25,2,26.6,1.7464899062226371,0.7369822229483819,false
wrong,25,2,26.7,1.737548146429613,0.7539621106859767,false
wrong,25,2,26.8,1.728466412282162,0.7707348659485836,false
wrong,25,2,26.9,1.7192620026876442,0.7873008069995316,false
wrong,25,2,27.0,1.7099486528654622,0.8036603914002509,false
wrong,25,2,27.1,1.7005372157780532,0.819814185567508,false
wrong,25,2,27.2,1.6910362060342645,0.8357628401450299,false
wrong,25,2,27.3,1.6814522342861355,0.8515070700197431,false
wrong,25,2,27.4,1.671790354394342,0.8670476380509348,false
wrong,25,2,27.5,1.662054341046768,0.8823853417697968,false
wrong,25,2,27.6,1.652246911860431,0.8975210024569519,false
wrong,25,2,27.7,1.6423699050954734,0.9124554561246785,false
wrong,25,2,27.8,1.6324244218096808,0.9271895460250681,false
wrong,25,2,27.9,1.6224109394597723,0.9417241163803645,false
wrong,25,2,28.0,1.6123294025124486,0.9560600070913017,false
wrong,25,2,28.1,1.6021792944846727,0.9701980492265908,false
wrong,25,2,28.2,1.5919596949258807,0.9841390611343375,false
wrong,25,2,28.3,1.581669324134944,0.9978838450461072,false
wrong,25,2,28.4,1.5713065778322277,1.0114331840681785,false
wrong,25,2,28.5,1.5608695535509296,1.0247878394734762,false
wrong,25,2,28.6,1.550356070147446,1.037948548222748,false
wrong,25,2,28.7,1.539763681538446,1.0509160206555133,false
wrong,25,2,28.8,1.5290896855373282,1.063690938300785,false
wrong,25,2,28.9,1.518331128472711,1.0762739517650304,false
wrong,25,2,29.0,1.5074848061169903,1.088665678660668,false
wrong,25,2,29.1,1.4965472613261863,1.1008667015429139,false
wrong,25,2,29.2,1.4855147786872354,1.1128775658261978,false
wrong,25,2,29.3,1.4743833763807226,1.124698777653891,false
wrong,25,2,29.4,1.4631487953918738,1.1363308016968223,false
wrong,25,2,29.5,1.4518064861372644,1.1477740588571552,false
wrong,25,2,29.6,1.4403515925165207,1.1590289238547196,false
wrong,25,2,29.7,1.4287789333451382,1.170095722672891,false
wrong,25,2,29.8,1.4170829810744936,1.1809747298406506,false
wrong,25,2,29.9,1.4052578376566098,1.191666165526545,false
wrong,25,2,30.0,1.3932972073627337,1.2021701924189117,false
wrong,25,2,30.1,1.3811943663149286,1.212486912364952,false
wrong,25,2,30.2,1.3689421284373517,1.2226163627389854,false
wrong,25,2,30.3,1.3565328074772958,1.232558512507492,false
wrong,25,2,30.4,1.3439581746840632,1.2423132579553011,false
wrong,25,2,30.5,1.3312094116647402,1.2518804180334584,false
wrong,25,2,30.6,1.3182770578583256,1.2612597292848355,false
wrong,25,2,30.7,1.3051509519815236,1.2704508402983559,false
wrong,25,2,30.8,1.291820166698677,1.2794533056366846,false
wrong,25,2,30.9,1.2782729356523033,1.2882665791752708,false
wrong,25,2,31.0,1.2644965718565333,1.2968900067825644,false
wrong,25,2,31.1,1.250477376300019,1.3053228182619043,false
wrong,25,2,31.2,1.2362005354234271,1.3135641184647757,false
wrong,25,2,31.3,1.2216500059246225,1.3216128774726086,false
wrong,25,2,31.4,1.206808385096216,1.3294679197297607,false
wrong,25,2,31.5,1.1916567646083496,1.3371279119934238,false
wrong,25,2,31.6,1.1761745653060436,1.3445913499465165,false
wrong,25,2,31.7,1.1603393501851107,1.351856543296664,false
wrong,25,2,31.8,1.1441266122315055,1.3589215991575334,false
wrong,25,2,31.9,1.1275095332415392,1.3657844034773643,false
wrong,25,2,32.0,1.1104587090672773,1.3724426002426768,false
wrong,25,2,32.1,1.092941835931811,1.3788935681418053,false
wrong,25,2,32.2,1.0749233515080276,1.3851343943218963,false
wrong,25,2,32.3,1.0563640233222709,1.391161844812845,false
wrong,25,2,32.4,1.0372204756956653,1.3969723311205786,false
wrong,25,2,32.5,1.0174446448294174,1.4025618724080422,false
wrong,25,2,32.6,0.9969831497279139,1.4079260525827157,false
wrong,25,2,32.7,0.9757765643797847,1.4130599714915473,false
wrong,25,2,32.8,0.9537585739207906,1.4179581892843827,false
wrong,25,2,32.9,0.9308549943175491,1.4226146628412835,false
wrong,25,2,33.0,0.9069826313717236,1.4270226729629643,false
wrong,25,2,33.1,0.8820479504927909,1.4311747407918078,false
wrong,25,2,33.2,0.8559455236898984,1.4350625316580097,false
wrong,25,2,33.3,0.8285562146059892,1.4386767442257506,false
wrong,25,2,33.4,0.7997450562719328,1.442006982442897,false
wrong,25,2,33.5,0.7693587698766552,1.4450416073713277,false
wrong,25,2,33.6,0.7372228668058368,1.4477675654941833,false
wrong,25,2,33.7,0.7031382715628987,1.4501701895690255,false
wrong,25,2,33.8,0.6668774018285567,1.4522329675431576,false
wrong,25,2,33.9,0.6281796470327335,1.4539372745128138,false
wrong,25,2,34.0,0.5867462037086552,1.4552620622731633,false
wrong,25,2,34.1,0.5422342632104394,1.4561835008147692,false
wrong,25,2,34.2,0.4942506189160899,1.4566745664182243,false
wrong,25,2,34.3,0.44234488748185535,1.4567045721844833,false
wrong,25,2,34.4,0.38600275529048494,1.4562386395618439,false
wrong,25,2,34.5,0.324640016321587,1.4552371147096932,false
wrong,25,2,34.6,0.25759873131985433,1.453654942929241,false
wrong,25,2,34.7,0.18414770247650541,1.4514410301812104,false
wrong,25,2,34.8,0.10349072771168298,1.4485376460890493,false
wrong,25,2,34.9,0.01478785496848685,1.444879961855297,false
wrong,25,2,35.0,-0.08280293829027718,1.4403958735317732,false
wrong,25,2,35.1,-0.19005392063619356,1.4350063387716996,false
