window_size,dp_x2,dp_xy,J
1,-0.5925,-0.565625,2.43110899710154
1,-0.5925,-0.55125,2.404681770942181
1,-0.5925,-0.536875,2.3782569221755363
1,-0.5925,-0.5225,2.3518368219528676
1,-0.5925,-0.508125,2.325423897703074
1,-0.5925,-0.49375,2.299020634227835
1,-0.5925,-0.479375,2.2726295748165573
1,-0.5925,-0.465,2.2462533223814356
1,-0.5925,-0.450625,2.219894540612994
1,-0.5925,-0.43625,2.1935559551564467
1,-0.5925,-0.421875,2.167240354809222
1,-0.5925,-0.4075,2.1409505927400576
1,-0.5925,-0.393125,2.1146895877299707
1,-0.5925,-0.37875,2.088460325435544
1,-0.5925,-0.364375,2.0622658596748504
1,-0.5925,-0.35,2.036109313736448
1,-0.5925,-0.335625,2.0099938817118224
1,-0.5925,-0.32125,1.983922829851656
1,-0.5925,-0.306875,1.9578994979463786
1,-0.5925,-0.2925,1.9319273007313575
1,-0.5925,-0.278125,1.9060097293172031
1,-0.5925,-0.26375,1.8801503526455643
1,-0.5925,-0.249375,1.854352818970894
1,-0.5925,-0.235,1.8286208573685985
1,-0.5925,-0.220625,1.802958279270022
1,-0.5925,-0.20625,1.7773689800247503
1,-0.5925,-0.191875,1.7518569404906608
1,-0.5925,-0.1775,1.7264262286522027
1,-0.5925,-0.163125,1.7010810012674158
1,-0.5925,-0.14875,1.6758255055441413
1,-0.5925,-0.134375,1.6506640808459299
1,-0.5925,-0.12,1.6256011604281626
1,-0.5925,-0.105625,1.6006412732048922
1,-0.5925,-0.09125,1.5757890455469297
1,-0.5925,-0.076875,1.551049203111695
1,-0.5925,-0.0625,1.5264265727053945
1,-0.5925,-0.048125,1.5019260841780557
1,-0.5925,-0.03375,1.4775527723519815
1,-0.5925,-0.019375,1.453311778984206
1,-0.5925,-0.005,1.4292083547635146
1,-0.5925,0.009375,1.4052478613426231
1,-0.5925,0.02375,1.3814357734061136
1,-0.5925,0.038125,1.3577776807747306
1,-0.5925,0.0525,1.334279290546679
1,-0.5925,0.066875,1.310946429276515
1,-0.5925,0.08125,1.2877850451923099
1,-0.5925,0.095625,1.26480121045172
1,-0.5925,0.11,1.242001123437619
1,-0.5925,0.124375,1.2193911110939957
1,-0.5925,0.13875,1.196977631302772
1,-0.5925,0.153125,1.1747672753022649
1,-0.5925,0.1675,1.1527667701479973
1,-0.5925,0.181875,1.130982981216575
1,-0.5925,0.19625,1.1094229147533814
1,-0.5925,0.210625,1.0880937204648273
1,-0.5925,0.225,1.067002694155931
