plane,window_size,f_blow,basin,J_min,J_max
w_wv,33,0.0,0.0002687449610319806,0.02275075821180186,228.77700533122263
w_wv,50,0.00026874496103201917,0.0002687449610319806,0.02728570980472099,381.118186793878
w_wv,75,0.0024187046492878395,0.0002687449610319806,0.016796329228972662,433.70650232861584
w_wv,100,0.003224939532383786,0.0002687449610319806,0.017576201469118733,616.4642557327619
v3_w3,1,0.3206127385111529,0.007524858908895459,0.01773109828394226,902.0370315211053
v3_w3,2,0.3410373555495835,0.005106154259607632,0.020915482849303117,879.7661595872199
v3_w3,3,0.3576995431335662,0.0032249395323837677,0.021823148670987533,931.330867699375
v3_w3,4,0.36710561676968556,0.0026874496103198066,0.018745303613809015,976.0733566420986
v3_w3,5,0.3770491803278688,0.0018812147272238647,0.020895430727674334,975.7643330165996
v3_w3,6,0.3872614888470841,0.00403117441547971,0.07519078840892657,994.88264101853
v3_w3,8,0.4146734748723462,0.0008062348830959419,0.022962069289866327,888.4204969701464
v3_w3,10,0.4329481322225208,0.0005374899220639613,0.01543365226590483,981.5704795692417
v3_w3,12,0.4496103198065037,0.0005374899220639613,0.03682360537971691,872.1425409905878
v3_w3,15,0.47379736629938185,0.0005374899220639613,0.02224764669442469,870.9019203016835
v3_w3,20,0.5087342112335393,0.0010749798441279225,0.01940981575471948,887.4915824236094
v3_w3,25,0.5321150228433217,0.0005374899220639613,0.020700188701984125,894.5802377694531
v3_w3,33,0.55495834453104,0.0005374899220639613,0.02275075821180186,618.5829653216848
v3_w3,50,0.5794141359849503,0.0005374899220639613,0.02728570980472099,508.6324137949731
v3_w3,75,0.5944638538027411,0.0002687449610319806,0.016796329228972662,401.985518414185
v3_w3,100,0.6025262026337006,0.0002687449610319806,0.017576201469118733,360.8240233340012
v3_vw,1,0.320075248589089,0.01639344262295082,0.01773109828394226,635.7763883498332
v3_vw,2,0.3294813222252083,0.010212308519215264,0.020915482849303117,786.0054068760963
v3_vw,3,0.33351249664068794,0.006181134103735555,0.02102841108474575,941.2999132181083
v3_vw,4,0.3434560601988713,0.0026874496103198066,0.017670882687202766,921.9206122703658
v3_vw,5,0.34426229508196726,0.0037624294544477293,0.020895430727674334,23.755103031601923
v3_vw,6,0.34426229508196726,0.005374899220639613,0.0744077709912215,25.1683189070569
v3_vw,8,0.34426229508196726,0.0013437248051599033,0.022962069289866327,41.95329290823155
v3_vw,10,0.34426229508196726,0.0010749798441279225,0.01543365226590483,50.318576872887824
v3_vw,12,0.34426229508196726,0.0013437248051599033,0.025788698866179214,62.67220081756354
v3_vw,15,0.34426229508196726,0.0013437248051599033,0.02224764669442469,76.77032191717646
v3_vw,20,0.34426229508196726,0.0026874496103198066,0.018732720227643607,129.42839208229123
v3_vw,25,0.34426229508196726,0.0013437248051599033,0.019399036048592073,194.02803063933035
v3_vw,33,0.34560601988712714,0.0018812147272238647,0.02275075821180186,387.3308822900609
v3_vw,50,0.34748723461435094,0.0018812147272238647,0.02728570980472099,463.7547776217875
v3_vw,75,0.3499059392636388,0.0016124697661918839,0.016796329228972662,454.0818904933435
v3_vw,100,0.35098091910776674,0.0008062348830959419,0.017576201469118733,690.9156770182592
c_wc,1,0.0,0.03708680462241333,0.01773109828394226,2.4972068402818244
c_wc,2,0.0,0.015587207739854878,0.02090815327433544,5.193260798294955
c_wc,3,0.0,0.009137328675087342,0.021315607033628354,6.826314524277685
c_wc,4,0.0,0.00429991937651169,0.018745303613809015,7.637376610634466
c_wc,5,0.0,0.0026874496103198066,0.020895430727674334,8.232903889328723
