window_size,dp_v,dp_v3,J
1,-1.5,1.4625,1000.0
1,-1.5,1.5,1000.0
1,-1.4625,-1.5,1.3951260957566123
1,-1.4625,-1.4625,1.389131075751094
1,-1.4625,-1.425,1.38294889321403
1,-1.4625,-1.3875,1.376582879446363
1,-1.4625,-1.35,1.3700320691928218
1,-1.4625,-1.3125,1.363293372557971
1,-1.4625,-1.275,1.356362519957854
1,-1.4625,-1.2375,1.3492344581862539
1,-1.4625,-1.2,1.3419035101786938
1,-1.4625,-1.1625,1.3343634280906658
1,-1.4625,-1.125,1.3266073932515374
1,-1.4625,-1.0875,1.3186279860578707
1,-1.4625,-1.05,1.3104171364417259
1,-1.4625,-1.0125,1.301966060256374
1,-1.4625,-0.975,1.2932651844818075
1,-1.4625,-0.9375,1.284304062856124
1,-1.4625,-0.9,1.27507128268774
1,-1.4625,-0.8625,1.2655543629102124
1,-1.4625,-0.825,1.2557396427941143
1,-1.4625,-0.7875,1.2456121600906525
1,-1.4625,-0.75,1.2351555167393293
1,-1.4625,-0.7125,1.2243517296219693
1,-1.4625,-0.675,1.2131810631772424
1,-1.4625,-0.6375,1.2016218399829197
1,-1.4625,-0.6,1.189650224635603
1,-1.4625,-0.5625,1.1772399753668448
1,-1.4625,-0.525,1.1643621567762865
1,-1.4625,-0.4875,1.1509848057711338
1,-1.4625,-0.45,1.1370725411966338
1,-1.4625,-0.4125,1.1225861056266837
1,-1.4625,-0.375,1.107481825236052
1,-1.4625,-0.3375,1.091710970445536
1,-1.4625,-0.3,1.0752189959317107
1,-1.4625,-0.2625,1.0579446333946863
1,-1.4625,-0.225,1.0398188039096392
1,-1.4625,-0.1875,1.0207633084537988
1,-1.4625,-0.15,1.000689245031304
1,-1.4625,-0.1125,0.9794950886160584
1,-1.4625,-0.075,0.9570643563162947
1,-1.4625,-0.0375,0.9332627664784536
1,-1.4625,0.0,0.9079347918437488
1,-1.4625,0.0375,0.8808995159313093
1,-1.4625,0.075,0.8519457594070003
1,-1.4625,0.1125,0.8208266249496423
1,-1.4625,0.15,0.7872541045153648
1,-1.4625,0.1875,0.7508956956895544
1,-1.4625,0.225,0.7113784467521307
1,-1.4625,0.2625,0.6683155583353069
1,-1.4625,0.3,0.6214000703802689
1,-1.4625,0.3375,0.570732610209363
1,-1.4625,0.375,0.5179940400211419
1,-1.4625,0.4125,0.4706901869661954
1,-1.4625,0.45,0.47686816008965593
1,-1.4625,0.4875,1000.0
1,-1.4625,0.525,1000.0
1,-1.4625,0.5625,1000.0
1,-1.4625,0.6,1000.0
1,-1.4625,0.6375,1000.0
1,-1.4625,0.675,1000.0
1,-1.4625,0.7125,1000.0
1,-1.4625,0.75,1000.0
1,-1.4625,0.7875,1000.0
1,-1.4625,0.825,1000.0
1,-1.4625,0.8625,1000.0
1,-1.4625,0.9,1000.0
1,-1.4625,0.9375,1000.0
1,-1.4625,0.975,1000.0
1,-1.4625,1.0125,1000.0
1,-1.4625,1.05,1000.0
1,-1.4625,1.0875,1000.0
1,-1.4625,1.125,1000.0
1,-1.4625,1.1625,1000.0
1,-1.4625,1.2,1000.0
1,-1.4625,1.2375,1000.0
1,-1.4625,1.275,1000.0
1,-1.4625,1.3125,1000.0
