window_size,dp_xy_x,dp_xy_y,J
1,-0.9625,0.16,1.5401374789959201
1,-0.9625,0.17,1.5569600468139542
1,-0.9625,0.18,1.5742319666944824
1,-0.9625,0.19,1.5919584096580586
1,-0.9625,0.2,1.6101445662110296
1,-0.9625,0.21,1.6287956457738086
1,-0.9625,0.22,1.6479168760996614
1,-0.9625,0.23,1.6675135026841528
1,-0.9625,0.24,1.6875907881653591
1,-0.9625,0.25,1.7081540117150469
1,-0.9625,0.26,1.7292084684209068
1,-0.9625,0.27,1.7507594686600287
1,-0.9625,0.28,1.7728123374637956
1,-0.9625,0.29,1.795372413874321
1,-0.9625,0.3,1.8184450502926492
1,-0.9625,0.31,1.8420356118188599
1,-0.9625,0.32,1.8661494755842856
1,-0.9625,0.33,1.8907920300760215
1,-0.9625,0.34,1.9159686744539375
1,-0.9625,0.35,1.941684817860371
1,-0.9625,0.36,1.9679458787227246
1,-0.9625,0.37,1.994757284049177
1,-0.9625,0.38,2.0221244687177253
1,-0.9625,0.39,2.0500528747587676
1,-0.9625,0.4,2.0785479506314863
1,-0.9625,0.41,2.107615150494213
1,-0.9625,0.42,2.137259933469077
1,-0.9625,0.43,2.167487762901091
1,-0.9625,0.44,2.198304105612039
1,-0.9625,0.45,2.229714431149278
1,-0.9625,0.46,2.261724211029831
1,-0.9625,0.47,2.294338917979949
1,-0.9625,0.48,2.3275640251704357
1,-0.9625,0.49,2.3614050054480122
1,-0.9625,0.5,2.3958673305629405
1,-0.9625,0.51,2.4309564703932582
1,-0.9625,0.52,2.4666778921658126
1,-0.9625,0.53,2.5030370596744476
1,-0.9625,0.54,2.5400394324955737
1,-0.9625,0.55,2.5776904652014436
1,-0.9625,0.56,2.615995606571372
1,-0.9625,0.57,2.654960298801258
1,-0.9625,0.58,2.694589976711635
1,-0.9625,0.59,2.7348900669545904
1,-0.9625,0.6,2.7758659872198037
1,-0.9625,0.61,2.817523145440053
1,-0.9625,0.62,2.8598669389964617
1,-0.9625,0.63,2.902902753923755
1,-0.9625,0.64,2.946635964115904
1,-0.9625,0.65,2.9910719305323696
1,-0.9625,0.66,3.03621600040532
1,-0.9625,0.67,3.082073506448078
1,-0.9625,0.68,3.1286497660651458
1,-0.9625,0.69,3.1759500805640366
1,-0.9625,0.7,3.223979734369318
1,-0.9625,0.71,3.272743994239076
1,-0.9625,0.72,3.3222481084841426
1,-0.9625,0.73,3.372497306190416
1,-0.9625,0.74,3.4234967964444802
